question_ID,question_text,response_1,response_2,response_3,response_4,calculation,conceptual,question_img,question_table,answer_img,answer_table
ODF25DT212-CD,"A 227-ft length of canal is to be lined with concrete for erosion control. With 12% allowance for waste and overexcavation, the volume (yd³) of concrete that must be delivered is most nearly:",327,234,280,292,TRUE,,TRUE,,,
ODF25DT213-CD,"Based on the straight-line method of depreciation, the book value at the end of the 8th year for a track loader having an initial cost of $75,000, and a salvage value of $10,000 at the end of its expected life of 10 years is most nearly:",23000,10000,15000,48750,TRUE,,,,,
ODF25DT214-CD,"The budgeted labor amount for an excavation task is $4,000. The hourly labor cost is $50 per worker, and the workday is 8 hours. Two workers are assigned to excavate the material. The time (days) available for the workers to complete this task is most nearly:",5,3,4,12.5,TRUE,,,,,
ODF25DT215-CD,A CPM arrow diagram is shown below. Nine activities have been estimated with durations ranging from 5 to 35 days. The minimum time (days) required to finish the project is most nearly:,50,40,42,45,TRUE,,,TRUE,,
ODF25DT216-SD,"A bridge is to be jacked up to replace its bearings. The design requires a hydraulic ram with a minimum capacity of 1,000 kN (kilonewtons). The hydraulic rams that are available are rated in tons (2,000 lb/ton). The minimum size (tons) ram to use is most nearly:",150,1110,250,100,TRUE,,,,,
ODF25DT217-CD,A crane with a 100-ft boom is being used to set a small load on the roof of the building shown. The minimum standoff (Point A) from the corner of the building to the centerline of the boom is indicated. What is the maximum distance (ft) from the edge of the building that the load can be placed on the roof?,25,16,30,36,TRUE,,TRUE,,,
ODF25DT218-SD,A wall form subjected to a wind load of 20 psf is prevented from overturning by diagonal braces spaced at 8 ft on center along the length of the wall form as shown in the figure. The connection at the base of the form at Point A is equivalent to a hinge. Ignore the weight of the form. The axial force (lb) resisted by the brace is most nearly:,2900,2050,2560,4525,TRUE,,TRUE,,,
ODF25DT219-GD,Which one of the following statements regarding lateral earth pressures is correct?,The lateral strain required to fully mobilize the soil passive pressure is considerably greater than the lateral strain required to fully mobilize the soil active pressure.,The lateral strain required to fully mobilize the soil passive pressure is considerably smaller than the lateral strain required to fully mobilize the soil active pressure.,The lateral strain required to fully mobilize the soil passive pressure is slightly smaller than the lateral strain required to fully mobilize the soil active pressure.,The lateral strain required to fully mobilize the soil passive pressure is slightly greater than the lateral strain required to fully mobilize the soil active pressure.,,TRUE,,,,
ODF25DT210-GD,"Site preparation and grading require the placement of 20 ft of new fill. An analysis of the resulting consolidation of the underlying soft, saturated, compressible deposits reveals a mean consolidation settlement of 22 in. affecting a 21.5-acre area. Prefabricated wick drains will be used to accelerate the settlement to meet the project schedule. Because of contamination from the former site use, the effluent from the wick drains will need to be collected and treated prior to disposal at an estimated cost of $0.25 per gallon. Assuming no loss of effluent during collection, the estimated treatment and disposal cost for the wick drain effluent at this site is most nearly:",3200000,430000,5200000,35000000,TRUE,,,,,
ODF25DT221-GD,A soil profile is shown in the figure. The effective vertical stress (psf) at Point A is most nearly:,1820,1270,2140,2570,TRUE,,TRUE,,,
